# x, y, theta, v_l, v_r
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.571, 0.00, 0.00
10.00, 10.00, 1.581, 0.00, 0.98
10.00, 10.01, 1.590, 0.00, 0.98
10.00, 10.01, 1.600, 0.00, 0.98
10.00, 10.02, 1.610, 0.00, 0.98
10.00, 10.02, 1.620, 0.00, 0.98
10.00, 10.03, 1.629, 0.00, 0.98
10.00, 10.03, 1.639, 0.00, 0.98
10.00, 10.04, 1.649, 0.00, 0.98
10.00, 10.04, 1.659, 0.00, 0.98
10.00, 10.05, 1.669, 0.00, 0.98
10.00, 10.05, 1.678, 0.00, 0.98
10.00, 10.06, 1.688, 0.00, 0.98
10.00, 10.06, 1.698, 0.00, 0.98
10.00, 10.07, 1.708, 0.00, 0.98
9.99, 10.07, 1.717, 0.00, 0.98
9.99, 10.08, 1.717, 0.98, 0.98
9.99, 10.09, 1.717, 0.98, 0.98
9.99, 10.10, 1.717, 0.98, 0.98
9.99, 10.11, 1.717, 0.98, 0.98
9.99, 10.12, 1.717, 0.98, 0.98
9.99, 10.13, 1.717, 0.98, 0.98
9.98, 10.14, 1.717, 0.98, 0.98
9.98, 10.15, 1.717, 0.98, 0.98
9.98, 10.16, 1.717, 0.98, 0.98
9.98, 10.17, 1.717, 0.98, 0.98
9.98, 10.18, 1.717, 0.98, 0.98
9.98, 10.19, 1.717, 0.98, 0.98
9.98, 10.20, 1.717, 0.98, 0.98
9.97, 10.21, 1.717, 0.98, 0.98
9.97, 10.22, 1.717, 0.98, 0.98
9.97, 10.23, 1.717, 0.98, 0.98
9.97, 10.24, 1.717, 0.98, 0.98
9.97, 10.25, 1.717, 0.98, 0.98
9.97, 10.26, 1.717, 0.98, 0.98
9.97, 10.27, 1.717, 0.98, 0.98
9.96, 10.28, 1.717, 0.98, 0.98
9.96, 10.29, 1.717, 0.98, 0.98
9.96, 10.30, 1.717, 0.98, 0.98
9.96, 10.31, 1.717, 0.98, 0.98
9.96, 10.31, 1.717, 0.98, 0.98
9.96, 10.32, 1.717, 0.98, 0.98
9.96, 10.33, 1.717, 0.98, 0.98
9.95, 10.34, 1.717, 0.98, 0.98
9.95, 10.35, 1.717, 0.98, 0.98
9.95, 10.36, 1.717, 0.98, 0.98
9.95, 10.37, 1.717, 0.98, 0.98
9.95, 10.38, 1.717, 0.98, 0.98
9.95, 10.39, 1.717, 0.98, 0.98
9.95, 10.40, 1.717, 0.98, 0.98
9.94, 10.41, 1.717, 0.98, 0.98
9.94, 10.42, 1.717, 0.98, 0.98
9.94, 10.43, 1.717, 0.98, 0.98
9.94, 10.44, 1.717, 0.98, 0.98
9.94, 10.45, 1.717, 0.98, 0.98
9.94, 10.46, 1.717, 0.98, 0.98
9.94, 10.47, 1.717, 0.98, 0.98
9.93, 10.48, 1.717, 0.98, 0.98
9.93, 10.49, 1.717, 0.98, 0.98
9.93, 10.50, 1.717, 0.98, 0.98
9.93, 10.51, 1.717, 0.98, 0.98
9.93, 10.52, 1.721, 0.98, 1.37
9.93, 10.53, 1.725, 0.98, 1.37
9.93, 10.54, 1.729, 0.98, 1.37
9.92, 10.55, 1.733, 0.98, 1.37
9.92, 10.57, 1.737, 0.98, 1.37
9.92, 10.58, 1.741, 0.98, 1.37
9.92, 10.59, 1.745, 0.98, 1.37
9.92, 10.60, 1.749, 0.98, 1.37
9.91, 10.61, 1.753, 0.98, 1.37
9.91, 10.62, 1.757, 0.98, 1.37
9.91, 10.64, 1.760, 0.98, 1.37
9.91, 10.65, 1.764, 0.98, 1.37
9.90, 10.66, 1.768, 0.98, 1.37
9.90, 10.67, 1.772, 0.98, 1.37
9.90, 10.68, 1.776, 0.98, 1.37
9.90, 10.69, 1.780, 0.98, 1.37
9.89, 10.70, 1.784, 0.98, 1.37
9.89, 10.72, 1.788, 0.98, 1.37
9.89, 10.73, 1.792, 0.98, 1.37
9.89, 10.74, 1.796, 0.98, 1.37
9.88, 10.75, 1.800, 0.98, 1.37
9.88, 10.76, 1.803, 0.98, 1.37
9.88, 10.77, 1.807, 0.98, 1.37
9.88, 10.78, 1.811, 0.98, 1.37
9.87, 10.80, 1.815, 0.98, 1.37
9.87, 10.81, 1.819, 0.98, 1.37
9.87, 10.82, 1.823, 0.98, 1.37
9.86, 10.83, 1.827, 0.98, 1.37
9.86, 10.84, 1.831, 0.98, 1.37
9.86, 10.85, 1.835, 0.98, 1.37
9.86, 10.86, 1.839, 0.98, 1.37
9.85, 10.87, 1.843, 0.98, 1.37
9.85, 10.89, 1.846, 0.98, 1.37
9.85, 10.90, 1.850, 0.98, 1.37
9.84, 10.91, 1.854, 0.98, 1.37
9.84, 10.92, 1.858, 0.98, 1.37
9.84, 10.93, 1.862, 0.98, 1.37
9.83, 10.94, 1.866, 0.98, 1.37
9.83, 10.95, 1.870, 0.98, 1.37
9.83, 10.96, 1.874, 0.98, 1.37
9.82, 10.98, 1.878, 0.98, 1.37
9.82, 10.99, 1.882, 0.98, 1.37
9.82, 11.00, 1.886, 0.98, 1.37
9.81, 11.01, 1.889, 0.98, 1.37
9.81, 11.02, 1.893, 0.98, 1.37
9.80, 11.03, 1.897, 0.98, 1.37
9.80, 11.04, 1.901, 0.98, 1.37
9.80, 11.05, 1.905, 0.98, 1.37
9.79, 11.06, 1.909, 0.98, 1.37
9.79, 11.08, 1.913, 0.98, 1.37
9.78, 11.09, 1.917, 0.98, 1.37
9.78, 11.10, 1.921, 0.98, 1.37
9.78, 11.11, 1.925, 0.98, 1.37
9.77, 11.12, 1.929, 0.98, 1.37
9.77, 11.13, 1.932, 0.98, 1.37
9.76, 11.14, 1.936, 0.98, 1.37
9.76, 11.15, 1.940, 0.98, 1.37
9.76, 11.16, 1.944, 0.98, 1.37
9.75, 11.17, 1.948, 0.98, 1.37
9.75, 11.19, 1.952, 0.98, 1.37
9.74, 11.20, 1.956, 0.98, 1.37
9.74, 11.21, 1.960, 0.98, 1.37
9.73, 11.22, 1.964, 0.98, 1.37
9.73, 11.23, 1.968, 0.98, 1.37
